LAT,LONG,Depth,Year
28.94433333,-94.68491667,17.2,2011
28.03175,-93.761,77.2,2011
29.00316667,-94.4885,18.8,2011
28.017,-93.50725,88,2011
29.20375,-94.23333333,14.6,2011
28.0345,-93.42466667,92,2011
29.31533333,-94.43333333,15,2011
28.23391667,-93.50433333,60.4,2011
29.39575,-94.42466667,13.2,2011
28.39816667,-93.53508333,51.8,2011
29.5055,-94.17541667,12.8,2011
28.47783333,-93.87766667,44.3,2011
29.48783333,-94.14408333,12.8,2011
28.60983333,-93.95375,33.1,2011
29.3205,-94.25375,14.8,2011
28.61858333,-93.91083333,32.6,2011
29.06775,-94.1225,18.8,2011
28.58741667,-93.7695,34,2011
29.0395,-94.07533333,18.1,2011
28.66891667,-93.694,30.7,2011
28.9795,-93.85791667,21.2,2011
28.79033333,-93.40716667,27.8,2011
28.79116667,-93.87975,24.1,2011
28.80141667,-93.53466667,26.3,2011
28.8235,-94.36216667,25.1,2011
29.091,-93.27166667,21.4,2011
28.6035,-94.16791667,33.6,2011
29.1805,-93.28208333,18.5,2011
28.24025,-94.0155,58.7,2011
29.18333333,-93.36025,18.3,2011
29.21741667,-93.36333333,16.5,2011
29.42191667,-93.486,13.5,2011
29.448,-93.50591667,13,2011
29.58666667,-93.62141667,12.3,2011
29.5885,-93.58216667,12.3,2011
29.48566667,-93.145,13.7,2011
29.46825,-93.08583333,14.3,2011
29.4185,-92.5715,13.5,2011
29.36441667,-92.4605,11,2011
29.12191667,-92.721,21.8,2011
28.76241667,-92.17791667,33.6,2011
29.14433333,-92.87741667,20.7,2011
29.12508333,-92.90566667,21,2011
28.72475,-92.24091667,37.3,2011
28.93491667,-93.07025,23.4,2011
28.67591667,-92.32266667,38.2,2011
28.90125,-93.07841667,23.2,2011
28.557,-92.16333333,43,2011
28.72116667,-93.16525,29.1,2011
28.46491667,-92.32791667,53,2011
28.54983333,-93.10575,41.1,2011
28.23366667,-92.22208333,66.4,2011
28.01766667,-91.93741667,105.7,2011
