objectid_1,objectid,acres,month_map,area_,perimeter,date_map,strata,fiscaly,strata_d,areaid,shape_leng,i1_i2,st_areashape,st_perimetershape
22969,22969,5.65210979,APRIL,22873.37189,888.8373409,2011,C,2011,Subtidal Soft Non-vegetated Shell,P010,888.8373582,I1,22873.36832,888.8373582
22970,22970,2.8922376,APRIL,11704.52123,518.3647307,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P010,518.3646837,I1,11704.51714,518.3646837
22971,22971,34.90680316,APRIL,141263.3831,3077.629926,2011,G,2011,Subtidal Firm Non-vegetated Shell,P010,3077.63005,I1,141263.3856,3077.63005
22972,22972,1.92458796,APRIL,7788.563079,332.5915179,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P009,332.5915191,I1,7788.562337,332.5915191
22973,22973,4.36550215,APRIL,17666.63091,655.4945605,2011,L,2011,Subtidal Hard Non-vegetated w/o Shell,P010,655.4945699,I1,17666.63109,655.4945699
22974,22974,0.63794226,APRIL,2581.671812,194.6053235,2011,C,2011,Subtidal Soft Non-vegetated Shell,P010,194.6052196,I1,2581.671066,194.6052196
22975,22975,0.83297863,APRIL,3370.957946,268.5565361,2011,D,2011,Subtidal Soft Non-vegetated w/o Shell,P010,268.5564966,I1,3370.958442,268.5564966
22976,22976,100.3396838,APRIL,412027.9923,15293.08857,2011,D,2011,Subtidal Soft Non-vegetated w/o Shell,P010,13834.31956,I1,406061.9182,13834.31956
22977,22977,1.50833508,APRIL,6104.04017,400.8828241,2011,D,2011,Subtidal Soft Non-vegetated w/o Shell,P010,400.8826317,I1,6104.039944,400.8826317
22978,22978,56.12289372,APRIL,227122.2102,2718.745589,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P009,2718.745717,I1,227122.2014,2718.745717
22979,22979,0.75335405,APRIL,3048.728652,209.4146035,2011,G,2011,Subtidal Firm Non-vegetated Shell,P010,209.414559,I1,3048.727871,209.414559
22980,22980,1.6523921,APRIL,6687.019742,310.8251708,2011,G,2011,Subtidal Firm Non-vegetated Shell,P010,310.8251976,I1,6687.020339,310.8251976
22981,22981,31.91703784,APRIL,129164.1897,2409.499946,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P010,2409.500118,I1,129164.1863,2409.500118
22982,22982,0.15209495,APRIL,615.5075497,93.71818126,2011,G,2011,Subtidal Firm Non-vegetated Shell,P010,93.71829234,I1,615.5088894,93.71829235
22983,22983,0.06244737,APRIL,252.7163181,127.5356404,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P010,127.5355951,I1,252.7165673,127.5355951
22984,22984,16.59690486,APRIL,67165.5563,1700.216732,2011,L,2011,Subtidal Hard Non-vegetated w/o Shell,P010,1700.216694,I1,67165.55972,1700.216694
22985,22985,15.11112802,APRIL,61152.80785,1645.162991,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P010,1645.163345,I1,61152.81009,1645.163345
22986,22986,1.73329899,APRIL,7014.437037,402.4972943,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P009,402.4974152,I1,7014.440214,402.4974152
22987,22987,63.39758242,APRIL,256561.9188,6709.201191,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P010,6709.201465,I1,256561.9398,6709.201465
22988,22988,245.9832585,APRIL,995462.907,6777.42943,2011,L,2011,Subtidal Hard Non-vegetated w/o Shell,P010,6777.429334,I1,995462.9113,6777.429334
22989,22989,169.1188866,APRIL,684402.4993,4589.931172,2011,L,2011,Subtidal Hard Non-vegetated w/o Shell,P009,4589.931043,I1,684402.5898,4589.931043
22990,22990,2.8186331,APRIL,11406.64871,1772.999115,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P010,1772.999541,I1,11406.64909,1772.999541
22991,22991,0.09368381,APRIL,379.1202516,86.58810685,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P009,86.58887693,I1,379.1264621,86.58887694
22992,22992,34.20076461,APRIL,138406.1321,5511.239676,2011,D,2011,Subtidal Soft Non-vegetated w/o Shell,P010,5511.239893,I1,138406.1375,5511.239893
22993,22993,0.62553143,APRIL,2531.446627,581.47948,2011,D,2011,Subtidal Soft Non-vegetated w/o Shell,P010,581.4797154,I1,2531.446018,581.4797154
22994,22994,0.55215778,APRIL,2234.510145,285.2089569,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P010,285.2088534,I1,2234.512221,285.2088534
22995,22995,37.74656216,APRIL,152755.5149,18464.33784,2011,D,2011,Subtidal Soft Non-vegetated w/o Shell,P010,18464.33794,I1,152755.5285,18464.33794
22996,22996,11.54384448,May,46716.46804,3993.613481,2011,D,2011,Subtidal Soft Non-vegetated w/o Shell,P012,3993.613481,I1,46716.46804,3993.613481
22997,22997,2.9420342,May,11906.04327,520.7343713,2011,L,2011,Subtidal Hard Non-vegetated w/o Shell,P012,520.7128036,I1,11906.03763,520.7128036
22998,22998,0.19973477,May,808.3011824,462.2301097,2011,D,2011,Subtidal Soft Non-vegetated w/o Shell,P044,462.2301097,I1,808.3011824,462.2301097
22999,22999,1.34163719,May,5429.43483,1034.045071,2011,D,2011,Subtidal Soft Non-vegetated w/o Shell,P044,1034.045071,I1,5429.43483,1034.045071
23000,23000,0.94854666,May,3838.64753,715.4313351,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P044,715.4313351,I1,3838.64753,715.4313351
23001,23001,1.44903298,May,5864.051896,621.8128551,2011,D,2011,Subtidal Soft Non-vegetated w/o Shell,P044,621.8128551,I1,5864.051896,621.8128551
23002,23002,0.70417259,May,2849.696798,445.6610026,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P044,445.6610026,I1,2849.696798,445.6610026
23003,23003,3.31577477,May,13418.51811,1673.304414,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P044,1673.304414,I1,13418.51811,1673.304414
23004,23004,4.23396848,May,17134.33108,561.0473962,2011,L,2011,Subtidal Hard Non-vegetated w/o Shell,P044,561.0473962,I1,17134.33108,561.0473962
23005,23005,0.53932119,May,2182.564172,681.3804847,2011,D,2011,Subtidal Soft Non-vegetated w/o Shell,P044,681.3804847,I1,2182.564172,681.3804847
23006,23006,2.50612686,May,10141.97616,3693.921257,2011,D,2011,Subtidal Soft Non-vegetated w/o Shell,P044,3693.921257,I1,10141.97616,3693.921257
23007,23007,99.90339379,May,404296.3591,6372.87305,2011,D,2011,Subtidal Soft Non-vegetated w/o Shell,P044,6372.873048,I1,404296.308,6372.873048
23008,23008,17.05114811,May,69003.82426,2783.547931,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P044,2783.547931,I1,69003.82426,2783.547931
23009,23009,9.93606104,May,40209.97331,1539.18091,2011,L,2011,Subtidal Hard Non-vegetated w/o Shell,P044,1539.18091,I1,40209.97331,1539.18091
23010,23010,8.23608402,May,33330.38284,2005.381262,2011,F,2011,Subtidal Firm Vegetated w/o Shell,P044,2005.381262,I1,33330.38284,2005.381262
23011,23011,1.75514329,May,7102.841339,1557.532873,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P044,1557.532873,I1,7102.841339,1557.532873
23012,23012,32.66438711,May,132188.6135,15365.55986,2011,D,2011,Subtidal Soft Non-vegetated w/o Shell,P044,15365.55986,I1,132188.6135,15365.55986
23013,23013,2.09516876,May,8478.871496,406.9499657,2011,G,2011,Subtidal Firm Non-vegetated Shell,P015,406.950177,I1,8478.881091,406.950177
23014,23014,69.54836565,May,281453.3984,3609.531828,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P015,3609.532247,I1,281453.376,3609.532247
23015,23015,1.18485876,May,4794.969335,261.3998504,2011,K,2011,Subtidal Hard Non-vegetated Shell,P015,261.3999003,I1,4794.972473,261.3999003
23016,23016,4.70228988,May,19029.57942,630.6379567,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P015,630.6376962,I1,19029.56813,630.6376962
23017,23017,19.21877892,May,77775.94395,3130.574849,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P015,3130.575148,I1,77775.95002,3130.575148
23018,23018,0.32792542,May,1327.072946,188.5880366,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P015,188.5880375,I1,1327.072433,188.5880375
23019,23019,0.3336251,May,1350.137147,159.380193,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P015,159.3801583,I1,1350.13828,159.3801583
23020,23020,0.32972188,May,1334.344099,186.5712352,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P015,186.5713021,I1,1334.342469,186.5713021
23021,23021,0.07549731,May,305.5281781,85.63867412,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P015,85.63861593,I1,305.5280254,85.63861594
23022,23022,0.4302543,May,1741.185554,273.4386835,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P015,273.4386595,I1,1741.184371,273.4386595
23023,23023,5.64566605,May,22847.28359,850.1209131,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P015,850.1209265,I1,22847.29131,850.1209265
23024,23024,5.85008413,May,23674.53503,2929.224652,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P015,2929.224815,I1,23674.54524,2929.224815
23025,23025,2.14518704,May,8681.297291,984.3858169,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P015,984.3856339,I1,8681.298692,984.3856339
23026,23026,2.63615339,May,10668.17504,383.6801483,2011,J,2011,Subtidal Hard Vegetated w/o Shell,P015,383.6802306,I1,10668.17697,383.6802306
23027,23027,1.33197467,May,5390.333364,361.9780803,2011,D,2011,Subtidal Soft Non-vegetated w/o Shell,P015,361.9779897,I1,5390.331824,361.9779897
23028,23028,0.31400108,May,1270.720145,133.3949452,2011,G,2011,Subtidal Firm Non-vegetated Shell,P015,133.3950731,I1,1270.722374,133.3950731
23029,23029,0.41435559,May,1676.844766,185.0603441,2011,K,2011,Subtidal Hard Non-vegetated Shell,P015,185.060405,I1,1676.844297,185.060405
23030,23030,0.12809369,May,518.3768261,93.90809238,2011,L,2011,Subtidal Hard Non-vegetated w/o Shell,P015,93.90815509,I1,518.3788505,93.9081551
23031,23031,3.13045226,May,12668.54946,3155.642349,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P015,3155.642511,I1,12668.54151,3155.642511
23032,23032,0.11090087,May,448.800721,113.2900455,2011,L,2011,Subtidal Hard Non-vegetated w/o Shell,P015,113.2901161,I1,448.8017221,113.2901161
